users_program,user_id,zip,membership_type,bike,checkout_date,checkout_time,checkout_kiosk,return_date,return_time,return_kiosk,duration_minutes
53367,Denver B-cycle,1001028,80226.0,24-hour Kiosk Only (Denver B-cycle),81,10/11/15,6:34:00 PM,1550 Glenarm,10/11/15,7:48:00 PM,1550 Glenarm,74
53460,Denver B-cycle,791082,80202.0,Annual (Denver B-cycle),296,10/11/15,5:36:00 PM,33rd & Arapahoe,10/11/15,5:58:00 PM,16th & Platte,22
54175,Denver B-cycle,945236,80218.0,Annual (Denver B-cycle),619,10/11/15,10:36:00 AM,9th & Downing,10/11/15,10:41:00 AM,1551 Lafayette,5
54193,Denver B-cycle,259256,80218.0,Annual (Denver B-cycle),390,10/11/15,10:25:00 AM,13th & Marion,10/11/15,10:34:00 AM,Colfax & Steele,9
55004,Denver B-cycle,423264,80238.0,Annual (Denver B-cycle),751,10/10/15,3:05:00 PM,39th & Fox,10/10/15,3:15:00 PM,32nd & Pecos,10
55358,Denver B-cycle,13112,80218.0,Annual (Denver B-cycle),371,10/10/15,12:25:00 PM,Colfax & Garfield,10/10/15,12:40:00 PM,17th & Race,15
55446,Denver B-cycle,353830,80202.0,Annual (Denver B-cycle),148,10/10/15,11:39:00 AM,1450 Wazee,10/10/15,12:02:00 PM,Cherry Creek Mall,23
55553,Denver B-cycle,996642,94117.0,24-hour Kiosk Only (Denver B-cycle),137,10/10/15,9:43:00 AM,19th & Pearl,10/10/15,9:56:00 AM,Colfax & Steele,13
55781,Denver B-cycle,37366,80128.0,Annual (Denver B-cycle),567,10/9/15,7:04:00 PM,18th & Arapahoe,10/9/15,7:10:00 PM,18th & Arapahoe,6
56387,Denver B-cycle,975054,78233.0,30-day Renewing (Denver B-cycle),28,10/9/15,12:38:00 PM,Denver Botanic Gardens,10/9/15,12:59:00 PM,33rd & Arapahoe,21
56905,Denver B-cycle,974553,80233.0,24-hour Kiosk Only (Denver B-cycle),953,10/8/15,11:25:00 PM,32nd & Pecos,10/8/15,11:33:00 PM,19th & Market,8
